,E,I_sym,I_asym,ICU,Daily_infected,Reinfection,Sequela 1,Sequela 2,Sequela 3,Sequela 4,Sequela 5,Sequela 6
0,8,2,2,0,1,0,0,0,0,0,0,0
1,14,4,1,0,2,0,0,0,0,0,0,0
2,14,6,3,0,4,0,0,0,0,0,0,1
3,19,7,5,0,4,0,0,0,0,0,0,0
4,34,12,4,0,6,0,1,0,0,0,0,0
5,50,17,6,0,10,0,1,2,0,0,0,2
6,73,24,11,2,17,0,1,0,0,13,0,0
7,114,34,15,2,23,0,0,2,0,0,0,0
8,175,54,24,2,37,0,0,0,0,0,0,1
9,245,95,37,1,64,0,3,0,1,13,13,0
10,381,135,49,3,70,0,3,0,0,13,13,1
11,564,204,81,4,122,0,3,2,0,15,0,3
12,875,319,120,4,186,0,3,2,3,15,0,3
13,1318,507,178,5,290,0,2,7,5,19,17,5
14,1970,750,268,7,421,0,2,2,3,15,13,3
15,2903,1083,377,11,597,0,10,5,4,16,16,4
16,3904,1626,578,18,941,0,18,9,10,21,22,10
17,5046,2320,803,31,1263,0,30,23,24,36,36,24
18,5295,3224,1092,42,1675,0,35,24,21,33,33,25
19,5835,3989,1339,59,1647,0,52,35,35,48,48,36
20,6216,4793,1675,91,1911,0,77,52,53,64,64,53
21,6556,5611,1995,129,2050,0,90,77,78,90,90,75
22,6230,6418,2265,162,2138,0,134,99,98,109,110,97
23,6079,6892,2465,194,2000,0,147,122,123,135,135,123
24,5653,7337,2622,232,1974,0,213,150,151,162,161,151
25,5303,7631,2730,266,1862,0,269,191,186,204,204,192
26,4805,7687,2745,305,1659,0,293,231,232,244,242,232
27,4190,7731,2735,340,1578,0,374,276,277,286,289,277
28,3695,7568,2711,339,1336,0,436,312,313,325,323,313
29,3209,7341,2616,365,1182,0,489,338,339,350,351,338
30,2782,7056,2547,396,1064,0,577,400,401,409,413,401
31,2326,6659,2454,412,908,0,570,410,410,422,422,409
32,1969,6215,2287,408,749,1,659,429,429,441,440,429
33,1651,5688,2136,418,629,0,707,507,505,519,518,505
34,1337,5204,1960,425,536,0,725,508,509,521,521,509
35,1112,4778,1793,427,404,0,780,560,561,567,572,561
36,899,4314,1625,407,384,0,820,588,589,601,601,589
37,766,3868,1491,397,289,0,836,687,687,696,698,688
38,621,3460,1360,383,251,0,851,643,644,656,655,644
39,499,3112,1233,362,213,0,928,626,627,639,639,627
40,398,2753,1110,344,163,0,971,656,655,668,667,656
41,324,2438,1009,327,129,1,920,682,682,694,694,682
42,248,2124,913,313,118,0,958,750,751,763,763,751
43,218,1844,808,295,74,0,1035,738,735,750,750,739
44,171,1653,698,274,75,1,1031,726,727,736,738,726
45,128,1467,623,258,62,1,1043,724,725,735,737,725
46,108,1283,546,237,47,1,1039,778,777,791,791,779
47,96,1123,476,217,29,1,1051,798,799,811,811,799
