,agent id,age,household id,destination,household_type,household_unique_id,household_community_id,household_building_id,household size,workplace_category,household contact
0,1,1,543524_16_900_2,school_69,2,543524,900,900_16,3,21.00,9.489592999
1,2,3,12535_4_3_1,18.0_33392,1,12535,3,3_4,1,0.00,4.905552515
2,3,2,544464_5_900_2,8.0_14380,2,544464,900,900_5,4,9.00,9.167427867
3,4,2,8101_22_3_1,20.0_4618,1,8101,3,3_22,2,16.00,5.471835831
4,5,2,8679_82_3_1,20.0_3354,1,8679,3,3_82,2,17.00,5.471835831
5,6,2,9546_16_3_1,18.0_15522,1,9546,3,3_16,3,15.00,9.489592999
6,7,2,543367_16_900_2,15.0_1222,2,543367,900,900_16,5,18.00,9.675564754
7,8,4,546083_25_900_2,20.0_9157,2,546083,900,900_25,4,18.00,9.167427867
8,9,2,8767_26_3_1,18.0_34136,1,8767,3,3_26,3,3.00,9.489592999
9,10,2,542884_1_900_2,20.0_4238,2,542884,900,900_1,1,15.00,4.905552515
10,11,2,544805_9_900_2,15.0_290,2,544805,900,900_9,2,17.00,5.471835831
11,12,2,8060_9_3_1,20.0_4160,1,8060,3,3_9,2,15.00,5.471835831
12,13,2,11069_86_3_1,16.0_5709,1,11069,3,3_86,3,8.00,9.489592999
13,14,2,13175_77_3_1,20.0_9128,1,13175,3,3_77,3,14.00,9.489592999
14,15,2,11193_84_3_1,18.0_22975,1,11193,3,3_84,3,20.00,9.489592999
15,16,2,6560_60_3_1,18.0_19536,1,6560,3,3_60,2,19.00,5.471835831
16,17,2,542020_12_900_2,9.0_23166,2,542020,900,900_12,2,7.00,5.471835831
17,18,2,541575_9_900_2,20.0_7290,2,541575,900,900_9,3,18.00,9.489592999
18,19,2,9788_17_3_1,8.0_25773,1,9788,3,3_17,5,15.00,9.675564754
19,20,2,545313_27_900_2,15.0_2474,2,545313,900,900_27,2,20.00,5.471835831
20,21,3,543445_13_900_2,9.0_25139,2,543445,900,900_13,2,14.00,5.471835831
21,22,4,543525_7_900_2,8.0_18510,2,543525,900,900_7,2,17.00,5.471835831
22,23,2,545048_6_900_2,9.0_13932,2,545048,900,900_6,2,15.00,5.471835831
23,24,2,542820_19_900_2,9.0_9573,2,542820,900,900_19,2,18.00,5.471835831
24,25,2,544532_28_900_2,15.0_2601,2,544532,900,900_28,5,16.00,9.675564754
25,26,2,542117_25_900_2,17.0_3163,2,542117,900,900_25,4,14.00,9.167427867
26,27,2,7251_87_3_1,2.0_168,1,7251,3,3_87,2,18.00,5.471835831
27,28,2,6751_41_3_1,17.0_1764,1,6751,3,3_41,2,4.00,5.471835831
28,29,2,545801_7_900_2,15.0_5284,2,545801,900,900_7,2,17.00,5.471835831
29,30,2,5998_44_3_1,10.0_1738,1,5998,3,3_44,5,12.00,9.675564754
30,31,2,6215_38_3_1,17.0_677,1,6215,3,3_38,5,15.00,9.675564754
31,32,2,7002_39_3_1,18.0_15582,1,7002,3,3_39,1,5.00,4.905552515
32,33,2,11248_94_3_1,8.0_11310,1,11248,3,3_94,3,8.00,9.489592999
33,34,2,13042_57_3_1,15.0_1821,1,13042,3,3_57,3,4.00,9.489592999
34,35,1,546257_17_900_2,school_33,2,546257,900,900_17,2,21.00,5.471835831
35,36,3,6065_31_3_1,16.0_12115,1,6065,3,3_31,5,1.00,9.675564754
36,37,2,7974_46_3_1,1.0_5625,1,7974,3,3_46,2,8.00,5.471835831
37,38,2,9277_62_3_1,4.0_1638,1,9277,3,3_62,4,5.00,9.167427867
38,39,2,543262_9_900_2,15.0_894,2,543262,900,900_9,3,18.00,9.489592999
39,40,2,8838_16_3_1,15.0_401,1,8838,3,3_16,2,4.00,5.471835831
40,41,2,9390_14_3_1,3.0_1026,1,9390,3,3_14,2,20.00,5.471835831
41,42,2,541486_26_900_2,15.0_3981,2,541486,900,900_26,3,0.00,9.489592999
42,43,2,9371_21_3_1,5.0_324,1,9371,3,3_21,5,16.00,9.675564754
43,44,2,546339_19_900_2,20.0_1846,2,546339,900,900_19,3,15.00,9.489592999
44,45,2,13435_18_3_1,8.0_26181,1,13435,3,3_18,3,15.00,9.489592999
45,46,2,544307_17_900_2,15.0_1464,2,544307,900,900_17,2,15.00,5.471835831
46,47,3,9723_59_3_1,16.0_1120,1,9723,3,3_59,4,18.00,9.167427867
47,48,2,12706_82_3_1,15.0_1286,1,12706,3,3_82,4,11.00,9.167427867
48,49,2,545863_21_900_2,20.0_549,2,545863,900,900_21,4,20.00,9.167427867
49,50,2,546232_27_900_2,15.0_5222,2,546232,900,900_27,4,15.00,9.167427867
50,51,2,546471_22_900_2,15.0_6594,2,546471,900,900_22,4,15.00,9.167427867
51,52,2,6767_109_3_1,20.0_5315,1,6767,3,3_109,2,18.00,5.471835831
52,53,2,11344_92_3_1,10.0_1870,1,11344,3,3_92,1,7.00,4.905552515
53,54,2,543033_19_900_2,1.0_1058,2,543033,900,900_19,5,12.00,9.675564754
54,55,2,543972_12_900_2,18.0_27769,2,543972,900,900_12,5,20.00,9.675564754
55,56,2,11617_81_3_1,15.0_6745,1,11617,3,3_81,3,15.00,9.489592999
56,57,2,543553_12_900_2,20.0_9974,2,543553,900,900_12,4,15.00,9.167427867
57,58,2,7762_12_3_1,20.0_120,1,7762,3,3_12,1,0.00,4.905552515
58,59,2,10901_103_3_1,20.0_607,1,10901,3,3_103,2,15.00,5.471835831
59,60,2,10732_70_3_1,15.0_3840,1,10732,3,3_70,2,9.00,5.471835831
60,61,2,543170_18_900_2,16.0_4909,2,543170,900,900_18,2,18.00,5.471835831
61,62,2,12957_70_3_1,6.0_563,1,12957,3,3_70,3,17.00,9.489592999
62,63,2,545475_22_900_2,5.0_75,2,545475,900,900_22,2,15.00,5.471835831
63,64,2,6679_64_3_1,20.0_241,1,6679,3,3_64,2,17.00,5.471835831
64,65,2,13787_17_3_1,8.0_25417,1,13787,3,3_17,3,18.00,9.489592999
65,66,2,12310_98_3_1,20.0_6323,1,12310,3,3_98,3,15.00,9.489592999
66,67,2,545831_3_900_2,1.0_6713,2,545831,900,900_3,1,9.00,4.905552515
67,68,2,13379_36_3_1,20.0_2322,1,13379,3,3_36,2,15.00,5.471835831
68,69,2,8557_19_3_1,14.0_1186,1,8557,3,3_19,5,15.00,9.675564754
69,70,2,12823_17_3_1,15.0_3391,1,12823,3,3_17,3,20.00,9.489592999
70,71,4,545430_11_900_2,20.0_2190,2,545430,900,900_11,3,8.00,9.489592999
71,72,2,544730_29_900_2,20.0_1016,2,544730,900,900_29,4,19.00,9.167427867
72,73,2,7421_35_3_1,14.0_272,1,7421,3,3_35,2,8.00,5.471835831
73,74,2,542384_8_900_2,15.0_3165,2,542384,900,900_8,5,8.00,9.675564754
74,75,2,544176_22_900_2,16.0_11063,2,544176,900,900_22,3,17.00,9.489592999
75,76,2,541483_2_900_2,15.0_6063,2,541483,900,900_2,2,15.00,5.471835831
76,77,2,543022_8_900_2,17.0_2183,2,543022,900,900_8,3,0.00,9.489592999
77,78,1,7156_11_3_1,school_257,1,7156,3,3_11,4,21.00,9.167427867
78,79,2,9325_69_3_1,20.0_5589,1,9325,3,3_69,2,6.00,5.471835831
79,80,2,541650_7_900_2,17.0_293,2,541650,900,900_7,5,15.00,9.675564754
80,81,2,6792_34_3_1,20.0_7954,1,6792,3,3_34,3,15.00,9.489592999
81,82,2,8983_52_3_1,20.0_97,1,8983,3,3_52,4,20.00,9.167427867
82,83,2,11942_63_3_1,9.0_18843,1,11942,3,3_63,4,15.00,9.167427867
83,84,3,543687_21_900_2,8.0_28416,2,543687,900,900_21,4,0.00,9.167427867
84,85,2,10951_44_3_1,14.0_782,1,10951,3,3_44,2,8.00,5.471835831
85,86,2,542553_8_900_2,20.0_8599,2,542553,900,900_8,2,17.00,5.471835831
86,87,2,8748_19_3_1,20.0_7949,1,8748,3,3_19,4,14.00,9.167427867
87,88,2,10911_105_3_1,8.0_28521,1,10911,3,3_105,2,20.00,5.471835831
88,89,2,11689_107_3_1,20.0_604,1,11689,3,3_107,2,0.00,5.471835831
89,90,2,12283_19_3_1,17.0_2467,1,12283,3,3_19,5,20.00,9.675564754
90,91,2,545668_6_900_2,20.0_1093,2,545668,900,900_6,3,9.00,9.489592999
91,92,2,10116_29_3_1,9.0_4588,1,10116,3,3_29,3,15.00,9.489592999
